Index,TIME,H2O(out),Sample(out),Tag(out)
0,0.0,0.089407126,0.000814525422,0.00977834862
1,5e-06,0.089407126,0.000814525422,0.00977834862
2,1.5e-05,0.089407126,0.000814525422,0.00977834862
3,3.5e-05,0.089407126,0.000814525422,0.00977834862
4,7.5e-05,0.089407126,0.000814525422,0.00977834862
5,0.000155,0.089407126,0.000814525422,0.00977834862
6,0.000255,0.089407126,0.000814525422,0.00977834862
7,0.000355,0.089407126,0.000814525422,0.00977834862
8,0.000455,0.089407126,0.000814525422,0.00977834862
9,0.000555,0.089407126,0.000814525422,0.00977834862
10,0.000655,0.089407126,0.000814525422,0.00977834862
11,0.000755,0.089407126,0.000814525422,0.00977834862
12,0.000855,0.089407126,0.000814525422,0.00977834862
13,0.000955,0.089407126,0.000814525422,0.00977834862
14,0.001,0.089407126,0.000814525422,0.00977834862
